tweet_id,user_id,created_at,text,hashtags,retweetcount,retweeter_ids
1659772071076065285,1450439849798881289,2023-05-20 04:04:33+00:00,เมิงงงง กูอุตส่าห์หาหอ มธ.ไว้ มธ.ไม่รับรักกูเลยอ๊า🥲 #dek66,dek66,0,1396175754388406273
1659772066697199616,971013538603913216,2023-05-20 04:04:32+00:00,#ทีมบูรพา #TCAS66 #dek66 กลุ่มอินเตอร์ ม.บูรพา มาจอยกันได้ค่า https://t.co/qVfVF9nmrh,"ทีมบูรพา,TCAS66,dek66",0,
1659772066609139712,1555062167803596803,2023-05-20 04:04:32+00:00,โอเค พอใจละแต่ประมวลผลไปก่อน #dek66,dek66,0,
1659772067619950592,1643308377936924672,2023-05-20 04:04:32+00:00,อย่าลืมกรอกข้อมูลกันด้วยนะทุกคน #เภสัชมอ #RxPSU #dek66 #ทีมมอ https://t.co/VNxqq0cxoD https://t.co/94N9KOGxXf,"เภสัชมอ,RxPSU,dek66,ทีมมอ",0,"1225802395852009474,758482402545020928"
1659772063383719937,1435963591446781953,2023-05-20 04:04:31+00:00,กินข้าวไม่ลง เหมือนจะอ้วก #dek66,dek66,0,
1659772050595262466,944800499445858307,2023-05-20 04:04:28+00:00,แกคือแบบภัยความมั่นอะ ยื่นไปแค่สามอันดับ วรรณอิ้งมธ อ่อ 74 หลุด ปิดตำนานมาสอบใหม่เพราะปีที่แล้วหลุด 0.75 5415627255… https://t.co/sItgqR2Pew,,0,
1659772050142294018,1458307246442442753,2023-05-20 04:04:28+00:00,มีใครกู้กยศเป็นรายเก่าไหมคะ #dek66,dek66,0,
1659772047915114497,1518489660355276800,2023-05-20 04:04:27+00:00,อยากสอบถามเรื่องการใช้หัวใจค่ะ มีใครพออธิบายให้เขาได้บ้างคะ #dek66,dek66,0,
1659772043909529600,897773782059765760,2023-05-20 04:04:26+00:00,คะแนนมึงเต็มสามร้อยปะเนี่ยไอควย เฟ้อชิบหาย #dek66,dek66,0,"1164516540315652096,1214576709707546625,1510275299841171457"
1659772037567598597,1510456356427509762,2023-05-20 04:04:25+00:00,#dek66 #LetsDance she see me looking at ha,"dek66,LetsDance",0,
1659772037366439936,1527624345941516291,2023-05-20 04:04:25+00:00,ใครติดเอกอิ้งมธมั้ยคะ อยากทราบรายละเอียดสอบสัมภาษณ์ว่าเค้าrequireผลสอบอะไรมั้ย #dek66,dek66,0,
1659772032089997312,1377667598851039233,2023-05-20 04:04:24+00:00,มีใครติดวิทเครื่องสำอางบ้างคับ เมคเฟรนกัน🥹 #dek66  #มฟล,"dek66,มฟล",0,
1659772029950902272,1554820734446600192,2023-05-20 04:04:23+00:00,ตายได้ยัง ใครติดเศรษฐศาสตร์ มก เมคเฟรนได้นะคะ🥹 #dek66 https://t.co/lauGYNDWwL,dek66,0,
1659772029728612352,1260524037194649601,2023-05-20 04:04:23+00:00,ถ้าประมวลผลรอบ2แล้วติด 1-5 เราจะแจก100ค่ะ #dek66,dek66,1,"1029719948128468993,1057990644658892801,1650091474686709762"
1659772026964545536,1515641361520730118,2023-05-20 04:04:22+00:00,ติดเวียดนามไป1เก๋ๆ เช็ดน้ำตาละไปต่อค่ะ ประมวลไม่สนลูกใคร #dek66 #ทีมศิลปากร มาเมคเฟรนด์กันได้คั้บตัวเอง🥺 https://t.co/oDwkWzaXtD,"dek66,ทีมศิลปากร",0,
1659772017959395328,1525029105153888256,2023-05-20 04:04:20+00:00,ถ้าหลุดอันดับทั้งหมด แล้วยื่นประมวลผลรอบ2ไปจะมีโอกาสติดเยอะมั้ยคะ หรือจะหลุดอีกรอบนึง 🙏🏻🥺 #dek66,dek66,0,"1394356494171136009,1620790510729285635"
1659772006806740992,1328569339574816768,2023-05-20 04:04:18+00:00,ที่สำคัญ! อย่าลืมติดแท็ก #dek66 #MonkeyEverydayth #Tcas66,"dek66,MonkeyEverydayth,Tcas66",0,
1659772003229003776,1099290453340389381,2023-05-20 04:04:17+00:00,"ค่าเทอมรังสิตต่อเทอมเกินห้าหมื่นไหมคะ
ดูในเว็บแล้วงงว่าสองหมื่นคือแรกเข้ารึเปล่า #dek66 #TCAS66","dek66,TCAS66",0,
1659772003560341511,1270669023080902656,2023-05-20 04:04:17+00:00,"หมดแรงจะใช้ชีวิตต่อว่ะ
ผู้ถูกเลือกให้ผิดหวัง😭✌️
#dek66",dek66,0,
1659771991677882369,869866650551500800,2023-05-20 04:04:14+00:00,ใครติดมศว บริหารการตลาดไหมคะ😭 #dek66,dek66,0,
1659771988716707840,1239164728586326022,2023-05-20 04:04:13+00:00,ใครมีกลุ่มบชมธ 4 ปีบ้างคะ #dek66,dek66,0,
1659771972845461505,1491973708810170370,2023-05-20 04:04:10+00:00,#dek66 ถ้าเราไม่ติดเลยทั้ง10อันดับแล้วขอประมวลผลใหม่รอบที่2ทางทปอ.จะคิดคำนวนเหมือนรอบแรกรึเปล่าคะ หรือเราควรเลือกปร… https://t.co/6CE1bA39ZJ,dek66,1,"1515662666735370246,1264403217837785088,1620790510729285635"
